id,code,head_station_sign_off_duration,head_station_sign_on_duration,name,number_of_beds,out_station_sign_off_duration,out_station_sign_on_duration
5,"ABH",30,30,"AMBARNATH",1,30,30
6,"ABY",30,30,"AMBIVLI",1,30,30
7,"AMAN",30,30,"AMAN LODGE",1,30,30
8,"APTA",30,30,"APTA",1,30,30
9,"ASO",30,30,"ASANGAON",1,30,30
10,"ATG",30,30,"ATGAON",1,30,30
11,"BEPR",30,30,"BELAPUR CBD",1,30,30
12,"BIRD",30,30,"BHIWANDI ROAD",1,30,30
13,"BND",30,30,"BHANDUP",1,30,30
14,"BUD",30,30,"BADLAPUR",1,30,30
15,"BVS",30,30,"BHIVPURI ROAD",1,30,30
16,"BY",30,30,"BYCULLA",1,30,30
17,"CHG",30,30,"BBY CHINCHPKILI",1,30,30
18,"CHOK",30,30,"CHOWK",1,30,30
19,"CKHS",30,30,"CHIKHLE",1,30,30
20,"CLA",30,30,"KURLA JN",1,30,30
21,"CMBR",30,30,"CHEMBUR",1,30,30
22,"CRD",30,30,"BMBY CURREY RD",1,30,30
23,"CSTM",30,30,"MUMBAI CST",1,30,30
24,"DCTL",30,30,"DOMBIVLI CTL",1,30,30
25,"DDCL",30,30,"DOMVIVALI CONTROL CABIN",1,30,30
26,"DI",30,30,"DOMBIVIL",1,30,30
27,"DIVA",30,30,"DIVA",1,30,30
28,"DR",30,30,"DADAR          ",1,30,30
29,"DTCC",30,30,"DATIVLI CHORD CABIN",1,30,30
30,"DTVL",30,30,"DATIVALI CABIN",1,30,30
31,"GC",30,30,"GHAT KOPAR",1,30,30
32,"HMRR",30,30,"HAMARAPUR",1,30,30
33,"IGP",30,30,"IGATPURI",1,30,30
34,"JBC",30,30,"JAMBRUNG",1,30,30
35,"JCNR",30,30,"JUCHANDRA",1,30,30
36,"JITE",30,30,"JITE",1,30,30
37,"JTT",30,30,"JUMA PATTI",1,30,30
38,"KAD",30,30,"KHANDALA",1,30,30
39,"KARD",30,30,"KAMAN ROAD",1,30,30
40,"KASU",30,30,"KASU",1,30,30
41,"KDV",30,30,"KHADAVLI",1,30,30
42,"KE",30,30,"KHARDI",1,30,30
43,"KHBV",30,30,"KHARBAO",1,30,30
44,"KJT",30,30,"KARJAT",1,30,30
45,"KLMG",30,30,"KALAMBOLI GOODS",1,30,30
46,"KLVA",30,30,"KALVA",1,30,30
47,"KOPR",30,30,"KOPAR",1,30,30
48,"KPHN",30,30,"KOPAR KHAIRNA",1,30,30
49,"KSRA",30,30,"KASARA",1,30,30
50,"KYN",30,30,"KALYAN JN",1,30,30
51,"LNL",30,30,"LONAVALA",1,30,30
52,"LTT",30,30,"LOKMANYATILAK",1,30,30
53,"MAE",30,30,"MATHERAN",1,30,30
54,"MBQ",30,30,"MUMBRA",1,30,30
55,"MHLC",30,30,"MONKEY HILL",1,30,30
56,"MHPE",30,30,"MHOPE",1,30,30
57,"MLND",30,30,"MULUND",1,30,30
58,"MNKD",30,30,"MANKHURD",1,30,30
59,"MSD",30,30,"MUMBAI MASJID",1,30,30
60,"MTN",30,30,"MUMBAI MATUNGA",1,30,30
61,"NAGC",30,30,"NAGARGALI",1,30,30
62,"NEU",30,30,"NERUL",1,30,30
63,"NGTN",30,30,"NAGOTHANE",1,30,30
64,"NHU",30,30,"NAHUR",1,30,30
65,"NIDI",30,30,"NIDI",1,30,30
66,"NIIJ",30,30,"NILAJE",1,30,30
67,"NNCN",30,30,"NAGNATH CABIN",1,30,30
68,"NRL",30,30,"NERAL",1,30,30
69,"NRLN",30,30,"NERAL (NG)",1,30,30
70,"NVRD",30,30,"NAVADE ROAD",1,30,30
71,"OMB",30,30,"OOMBERMALI",1,30,30
72,"PDI",30,30,"PALASHARI",1,30,30
73,"PEN",30,30,"PEN",1,30,30
74,"PNVL",30,30,"PANVEL",1,30,30
75,"PR",30,30,"MUMBAI PAREL",1,30,30
76,"ROHA",30,30,"ROHA",1,30,30
77,"RSYI",30,30,"RASAYANI",1,30,30
78,"RVJ",30,30,"RAVLI JN",1,30,30
79,"SHAD",30,30,"SHAHAD",1,30,30
80,"SMNE",30,30,"SOMATNE",1,30,30
81,"SNRD",30,30,"BY SANDHURST RD",1,30,30
