TrainNo,TrainName,SlNo,StationCode,Day_Of_Journey,ArrivalTime,DepartureTime,Distance
51027,FAST PASSENGER,1,CSTM,1,00:00,22:55,0
51027,FAST PASSENGER,2,DR,1,23:08,23:10,9
51027,FAST PASSENGER,3,TNA,1,23:32,23:35,34
51027,FAST PASSENGER,4,KYN,1,23:52,23:55,54
51027,FAST PASSENGER,5,ULNR,2,00:07,00:08,58
51027,FAST PASSENGER,6,ABH,2,00:15,00:16,60
51027,FAST PASSENGER,7,BUD,2,00:22,00:23,68
51027,FAST PASSENGER,8,KJT,2,00:50,00:55,100
51027,FAST PASSENGER,9,KAD,2,01:39,01:40,125
51027,FAST PASSENGER,10,LNL,2,01:52,01:55,128
51027,FAST PASSENGER,11,KMST,2,02:12,02:13,144
51027,FAST PASSENGER,12,TGN,2,02:23,02:25,158
51027,FAST PASSENGER,13,DEHR,2,02:39,02:40,168
51027,FAST PASSENGER,14,CCH,2,02:58,03:00,176
51027,FAST PASSENGER,15,PMP,2,03:04,03:05,178
51027,FAST PASSENGER,16,KK,2,03:23,03:25,186
51027,FAST PASSENGER,17,SVJR,2,03:28,03:30,190
51027,FAST PASSENGER,18,PUNE,2,04:05,04:20,192
51027,FAST PASSENGER,19,URI,2,04:46,04:47,220
51027,FAST PASSENGER,20,KDG,2,05:06,05:07,246
51027,FAST PASSENGER,21,DD,2,05:50,05:55,267
51027,FAST PASSENGER,22,BGVN,2,06:18,06:20,295
51027,FAST PASSENGER,23,JEUR,2,07:08,07:10,342
51027,FAST PASSENGER,24,KWV,2,08:20,08:35,376
51027,FAST PASSENGER,25,MLB,2,09:21,09:22,398
51027,FAST PASSENGER,26,PVR,2,10:00,00:00,429
